customer_id,first_name,last_name,email,phone,city,state,country,signup_date,customer_status
C00049,Shannon,Walker,acostaregina@example.net,7007661771,North David,South Carolina,USA,2025-05-25,Active
C00050,Amy,Nguyen,shawn96@example.org,8367365766,Elizabethstad,Georgia,USA,2025-07-23,Active
C00051,Thomas,Davis,daviscolin@example.net,2809885165,Michaelshire,North Carolina,USA,2024-02-20,Active
C00052,Diane,Walker,bellangela@example.org,9368998094,Sandrastad,Alabama,USA,2024-01-16,Inactive
C00053,Douglas,Sandoval,thomascynthia@example.org,8366752545,East Ericton,Utah,USA,2023-09-29,Active
C00054,Scott,Coleman,nperry@example.net,5614978403,East Kevinborough,Wyoming,USA,2023-11-29,Inactive
C00055,Jonathan,Murphy,jimenezryan@example.org,8388516060,Berrychester,Maine,USA,2023-11-05,Active
C00056,Andrew,Nguyen,xcollier@example.org,1369681645,New Cynthiahaven,North Carolina,USA,2024-01-30,Active
C00057,Kimberly,Bell,joelthomas@example.org,9212779979,South Carlos,New Hampshire,USA,2025-05-23,Active
C00058,Laura,Vargas,william47@example.com,0541199867,Stoutshire,Tennessee,USA,2024-01-24,Active
C00059,Cassidy,Mason,hayeslisa@example.com,8203778892,Ortizmouth,Utah,USA,2025-04-17,Active
C00060,Kristina,Holland,riveraangela@example.com,4925192546,Angelicamouth,Florida,USA,2025-07-05,Active
C00061,Maria,Rodgers,lucasrodney@example.com,5423573322,Lake Matthewberg,Rhode Island,USA,2024-08-17,Active
C00062,Francis,Guerra,jenniferwilliams@example.com,7947383473,Hammondfurt,North Carolina,USA,2025-01-30,Active
C00063,Tammy,Montoya,moniquewilliams@example.com,8181412478,Port Shannon,Minnesota,USA,2026-04-16,Active
C00064,Robert,Sanders,joe15@example.org,5152204727,North Jonathanberg,Oklahoma,USA,2026-04-27,Active
C00065,Chelsea,Henderson,john10@example.org,9711798089,Smithstad,Kansas,USA,2025-03-18,Active
C00066,Jacob,Barnett,carlos88@example.net,6706540515,Dennisstad,Ohio,USA,2024-07-07,Active
C00067,Dawn,Greer,epollard@example.net,2170430305,Kingborough,Maine,USA,2024-07-27,Active
C00068,Kimberly,Glenn,joshua56@example.com,6527758416,New Kelly,Connecticut,USA,2023-09-27,Active
C00069,Donna,Parker,cjackson@example.com,0596401658,Johnsonland,Kansas,USA,2025-11-01,Active
C00070,Michael,Reyes,jacobserika@example.com,7192856543,Holmesside,Delaware,USA,2024-04-13,Active
C00071,Jorge,Griffin,heather73@example.org,1727155188,Port Michael,Iowa,USA,2023-11-12,Active
C00072,James,Taylor,jjohnson@example.net,7829114678,East Teresaland,New Hampshire,USA,2024-11-23,Active
C00073,Zachary,Anderson,katrinaanderson@example.net,1824225358,Lake Stephanie,Louisiana,USA,2023-11-16,Inactive
C00074,Kevin,Ferguson,brittanycarpenter@example.org,9001094396,Dawnport,New Mexico,USA,2024-03-26,Active
C00075,Lindsay,Sullivan,djones@example.org,6773592555,West Johnville,Louisiana,USA,2024-11-05,Active
C00076,Donald,Williams,alin@example.org,5953278774,Wagnerbury,Indiana,USA,2025-04-01,Active
C00077,Brandon,Campbell,amitchell@example.org,2456506098,Charleshaven,New Hampshire,USA,2025-10-16,Active
C00078,Joshua,Hays,andersoncolin@example.com,8523986800,Stoneberg,Rhode Island,USA,2026-03-06,Active
C00079,Donald,Velazquez,francisco94@example.net,8887947055,Lauratown,Rhode Island,USA,2024-12-03,Active
C00080,Tammy,Patton,jennifersilva@example.org,2309130756,Shawfort,West Virginia,USA,2025-09-06,Active
C00081,Janice,Stone,whitney78@example.com,2785854973,Jeffreyport,Wyoming,USA,2024-05-13,Active
C00082,Jared,Bush,timothy84@example.com,9866524041,Lewisside,Louisiana,USA,2026-04-19,Active
C00083,Heather,Taylor,johnsantiago@example.net,3016571208,Santosport,Massachusetts,USA,2024-05-09,Active
C00084,Brian,Mack,amandasharp@example.org,6206724004,Justinside,North Dakota,USA,2024-12-24,Active
C00085,Sheena,Rosales,znelson@example.org,2742054932,Christopherville,Idaho,USA,2026-06-11,Active
C00086,Thomas,Boyle,greenjoe@example.com,4990453017,Hannahport,Mississippi,USA,2025-05-05,Active
C00087,Jeffrey,Anderson,spencerzhang@example.com,8783391878,North Mariahaven,Illinois,USA,2025-03-20,Active
C00088,Edward,Murphy,nwilson@example.net,1870728679,Jenniferfurt,Kentucky,USA,2025-12-12,Active
C00089,Julie,Lane,hendersonisabella@example.net,1704622656,Lake Tamaraside,Florida,USA,2025-06-17,Active
C00090,Michael,White,urice@example.org,0478686337,Lake Kathy,Arizona,USA,2025-12-05,Active
C00091,Robert,Miranda,allencarlos@example.net,7903067383,Jimshire,Massachusetts,USA,2025-03-25,Active
C00092,Kendra,Cardenas,kevinthomas@example.net,6440892687,Heatherchester,Georgia,USA,2024-05-25,Inactive
C00093,Ivan,Medina,melissaturner@example.net,7086688263,South Melanieland,Ohio,USA,2025-09-03,Active
C00094,James,Adams,russojacob@example.net,7354033173,New Marc,Maine,USA,2024-08-22,Active
C00095,Amanda,Howard,michael77@example.org,5355609320,Phillipsborough,Michigan,USA,2024-03-10,Active
C00096,Ashley,Sanchez,jonathan77@example.com,5228728080,Taylorbury,California,USA,2025-08-15,Active
C00097,Albert,Wagner,bruce97@example.net,0088600848,Drakeburgh,Connecticut,USA,2026-04-03,Active
C00098,Alice,Allen,lisa46@example.org,6793341016,Browntown,Vermont,USA,2024-01-05,Active
C00099,Vincent,Hamilton,ariel18@example.org,3974014890,New Douglas,Virginia,USA,2025-12-17,Active
C00100,Sarah,Evans,ashleyatkinson@example.net,6218501631,Novakmouth,Alaska,USA,2025-05-26,Active
C00101,Kristen,Hayes,michaelpugh@example.com,9619431142,Michaelland,Alabama,USA,2026-04-30,Active
C00102,Sean,Juarez,andersonjacob@example.com,1015819956,Maxwellside,Kansas,USA,2025-03-19,Active
C00103,Gavin,James,josephadams@example.org,2646471543,South Daniel,Maryland,USA,2023-07-09,Active
C00104,Randall,Skinner,vbrock@example.com,6924593752,Faulknerbury,Massachusetts,USA,2024-08-17,Active
C00105,Lisa,Long,frederickjames@example.net,8073741672,Lake Rodney,Missouri,USA,2023-09-21,Inactive
C00106,Vicki,Mendoza,sferguson@example.com,5891135290,Rodriguezville,Kentucky,USA,2024-03-01,Active
C00107,Julie,Grant,seanmyers@example.net,5071461125,New Timothy,New Mexico,USA,2023-10-16,Inactive
C00108,Jennifer,Chavez,evanslisa@example.org,5123828258,Sotoburgh,South Dakota,USA,2025-06-21,Active
C00109,Randall,Mclaughlin,shannonjordan@example.org,3419182553,Rosemouth,Rhode Island,USA,2024-08-30,Active
C00110,Philip,Wilson,megan92@example.net,9912513412,Barnesberg,Oregon,USA,2024-08-25,Active
C00111,Jacob,Reid,angelaburns@example.org,5790507236,Cohenchester,Virginia,USA,2026-01-07,Active
C00112,Tracy,Miller,flynnjeffrey@example.org,3842797881,Amberton,Wisconsin,USA,2025-08-28,Active
C00113,Amy,Fritz,fitzgeralddesiree@example.org,0745171339,New Donald,Indiana,USA,2025-12-09,Active
C00114,Linda,Hudson,candice25@example.net,4948126042,Mariafurt,New York,USA,2023-12-04,Active
C00115,Cynthia,Burton,ohayes@example.org,8457759017,Robinsonchester,Indiana,USA,2024-12-25,Active
C00116,Marcus,Campbell,ashleewashington@example.com,0170127706,Port Sarah,Louisiana,USA,2023-10-12,Active
C00117,Michael,Miller,brettgarrett@example.net,6110371293,Lake Matthewville,Nevada,USA,2025-07-31,Active
C00118,Tim,Perez,crosscurtis@example.com,4262218909,Lake Kaitlin,Nebraska,USA,2025-05-07,Active
C00119,Scott,Robinson,taylordavid@example.net,5652341389,Port Melanieport,Indiana,USA,2025-01-19,Active
C00120,William,Adkins,debbie37@example.com,3791805526,Port Thomas,Wyoming,USA,2023-09-19,Inactive
C00121,Brenda,Smith,billbrown@example.com,8666188924,Port Eric,Massachusetts,USA,2024-09-02,Active
C00122,Cynthia,Davenport,collinssamuel@example.org,3161799042,East Tylerstad,North Dakota,USA,2025-01-18,Active
C00123,Lynn,Green,david41@example.org,6481491778,West Eric,Wyoming,USA,2023-10-22,Active
C00124,Audrey,Sharp,joycesmith@example.org,0756220863,Josephland,Oregon,USA,2024-08-13,Inactive
C00125,Wayne,Winters,jeffreyblack@example.org,1744518705,Jodibury,New Jersey,USA,2024-08-08,Active
C00126,Teresa,Cuevas,jessicapayne@example.org,0603850506,South Travis,Arkansas,USA,2026-06-01,Active
C00127,Douglas,Ramirez,morsephyllis@example.net,5719182619,East Kelly,Massachusetts,USA,2026-04-11,Active
C00128,Phillip,Decker,louis43@example.org,2912127756,South Kyle,Kentucky,USA,2026-01-21,Active
C00129,Christopher,Aguirre,margaret90@example.org,2135680442,North Steven,Florida,USA,2023-11-12,Active
C00130,Bryan,Norman,davidcolon@example.com,9941013721,Williamsshire,Nevada,USA,2025-12-18,Active
C00131,Randall,Johnson,nthompson@example.org,4720999347,North Joshuaberg,Nebraska,USA,2024-02-05,Active
C00132,Nicole,Fox,mayokimberly@example.com,8759856420,Port Kimberlyton,New Mexico,USA,2025-02-01,Active
C00133,Katie,Key,craigsandoval@example.com,3965223955,New Stacy,New York,USA,2025-02-15,Active
C00134,Gregory,Johnson,halljeffery@example.net,0593252500,Port Aliciastad,California,USA,2024-08-14,Active
C00135,Sheri,Foster,rogersmarcus@example.org,7528953926,Lake Aaron,Vermont,USA,2026-05-06,Active
C00136,Peter,Gamble,whitelucas@example.net,9172513552,West Jasonland,Minnesota,USA,2024-04-08,Active
C00137,Daniel,Smith,akim@example.org,7658617932,Andrewview,Connecticut,USA,2023-09-21,Active
C00138,George,Bennett,paynerachael@example.org,9970629620,South Heidi,Washington,USA,2026-04-11,Active
C00139,Amber,Guerrero,john06@example.net,2050614973,Lake Kelly,Colorado,USA,2024-12-02,Active
C00140,Darrell,Glover,qburns@example.com,8625652704,Port Joseph,Arkansas,USA,2023-12-14,Active
C00141,Heather,Davis,lindsey69@example.org,6868793741,North Stacy,New Hampshire,USA,2024-01-07,Active
C00142,Tracey,Stanton,davidhenderson@example.net,3294511686,Starktown,Vermont,USA,2025-05-14,Active
C00143,Alexandra,Barnes,khernandez@example.net,1914856467,East Joshuaberg,South Carolina,USA,2025-04-29,Active
C00144,Heather,Williams,hannah07@example.com,0544471324,Jacobsland,Illinois,USA,2024-10-28,Active
C00145,Robin,Russell,xmalone@example.org,1486289023,South Brentstad,Virginia,USA,2024-02-05,Active
C00146,Micheal,Marshall,hreid@example.net,3579727985,West Anthonyton,Hawaii,USA,2026-01-22,Active
C00147,Kimberly,Lewis,deborahbyrd@example.com,8007229034,Woodardstad,New Jersey,USA,2024-04-03,Inactive
C00148,Steven,Byrd,asilva@example.net,8994417154,Jacobhaven,Wisconsin,USA,2024-03-21,Active
C00149,Brian,Mathews,rguerrero@example.org,7446660993,Knoxstad,North Carolina,USA,2024-05-26,Active
C00150,George,Sandoval,kellyruiz@example.net,8251353465,Stevenville,New Mexico,USA,2023-08-29,Active
C00151,Cynthia,Carpenter,kennedyjames@example.org,8460223569,Port Christopher,Michigan,USA,2025-05-23,Active
C00152,Gregory,Walters,hayesjason@example.org,7129666676,Lake Nathan,Alabama,USA,2026-03-05,Active
C00153,Katherine,Schmidt,rhodescourtney@example.org,5421689421,Lunahaven,Michigan,USA,2024-10-19,Active
C00154,Gloria,Anderson,mhoward@example.org,0332309821,Kelseyton,Rhode Island,USA,2026-06-26,Active
C00155,Ebony,Valdez,williamsdarrell@example.com,1847230461,South Maria,Connecticut,USA,2025-01-12,Inactive
C00156,Christine,Campbell,jimenezchelsea@example.com,5642087375,North Maryfort,Georgia,USA,2026-05-07,Active
C00157,Kimberly,Jones,conwaydawn@example.com,4701204556,Port Devonburgh,Michigan,USA,2024-07-27,Active
C00158,Samuel,Howell,watsonmatthew@example.org,6746762120,Phammouth,Idaho,USA,2025-05-02,Active
C00159,Kimberly,Carr,timothyfreeman@example.com,0145089935,South Dorothybury,New Mexico,USA,2024-07-14,Active
C00160,Erica,Cruz,smithsarah@example.net,7217535408,Montoyaland,New Jersey,USA,2024-10-30,Active
C00161,Ashley,Miller,hwest@example.com,1660880199,Lake Emily,Michigan,USA,2024-08-03,Active
C00162,Brian,Walker,xrivera@example.net,5711305548,East Travischester,Connecticut,USA,2024-04-05,Active
C00163,James,Martinez,ylewis@example.org,1609177982,New Savannahshire,New Mexico,USA,2026-04-10,Active
C00164,Kimberly,Kent,jessicaanderson@example.com,8669346547,Meganside,Massachusetts,USA,2025-08-20,Active
C00165,Selena,Chen,jasonklein@example.net,2288515879,Nataliechester,Alabama,USA,2025-01-24,Inactive
C00166,Anthony,Thomas,gonzalezkaren@example.org,4204380571,Youngport,Vermont,USA,2025-06-29,Active
C00167,Sara,Hughes,tammy00@example.net,3973598933,East Sydneyhaven,Delaware,USA,2024-08-18,Active
C00168,Roy,Hawkins,eugenesingleton@example.org,7202590947,Port Jasminehaven,Iowa,USA,2026-05-15,Active
C00169,Abigail,Hartman,robertherrera@example.org,3355543987,Seanbury,Arizona,USA,2025-07-19,Active
C00170,Manuel,Moon,cruzamber@example.com,8588770435,Port Amanda,Alabama,USA,2025-05-19,Active
C00171,Jason,Soto,michellecoleman@example.org,8612075011,New Lorraineview,Nebraska,USA,2024-08-30,Active
C00172,Crystal,Hamilton,pricedavid@example.org,9015814491,Shorttown,New Mexico,USA,2023-12-20,Active
C00173,Jeffrey,Francis,susan24@example.net,0882100996,Jasonstad,Indiana,USA,2024-09-26,Active
C00174,Debbie,Hunt,jackjensen@example.com,1290878141,Lynnstad,Florida,USA,2025-07-06,Active
C00175,Jimmy,Mitchell,mcculloughlouis@example.com,9492995562,Lake Jodi,Nevada,USA,2024-04-30,Active
C00176,Michael,Frazier,natalie77@example.com,7812914283,Port Williamtown,Pennsylvania,USA,2025-03-27,Active
C00177,Kayla,Lewis,arnoldamy@example.net,2563942788,Lake Johnburgh,Wisconsin,USA,2025-01-15,Active
C00178,Sean,White,jillwebb@example.com,3731453038,Keithton,Tennessee,USA,2024-06-21,Inactive
C00179,Jane,Boyd,mary49@example.net,6659184638,Sparkstown,North Carolina,USA,2026-02-22,Active
C00180,Scott,Hall,jason22@example.com,3651777392,East Ashleyburgh,Florida,USA,2025-05-21,Active
C00181,Benjamin,Armstrong,jacksonsandra@example.net,9904137977,Port Brandi,Wyoming,USA,2024-01-17,Active
C00182,Donna,Baker,sandra99@example.org,6621038862,Valenzuelaton,Ohio,USA,2025-01-03,Active
C00183,David,Olson,rachelryan@example.org,8650863765,Andersonfort,Wyoming,USA,2024-03-12,Active
C00184,Michele,Campbell,ascott@example.net,9818063565,Joseside,Nevada,USA,2025-03-11,Active
C00185,Cheryl,Braun,afischer@example.net,2588744956,Loganburgh,Connecticut,USA,2024-02-22,Active
C00186,Richard,Morgan,martintamara@example.org,2796114351,Mendezhaven,Maine,USA,2025-08-19,Active
C00187,Carla,Bautista,daniellegonzales@example.org,3098839205,West Kimberlystad,Texas,USA,2024-09-07,Active
C00188,Brenda,Holmes,calhounandrea@example.net,5439376904,New Charlesport,Michigan,USA,2026-05-04,Active
C00189,Leah,Frye,heather69@example.com,5779071416,Moseshaven,Ohio,USA,2023-07-12,Active
C00190,Marilyn,Wright,rosskaitlyn@example.com,8275539423,Port Joseph,Iowa,USA,2024-02-09,Active
C00191,John,Montgomery,kimberlywilson@example.org,9080759579,Raymondshire,Florida,USA,2023-08-30,Active
C00192,Lauren,Mendoza,shawphillip@example.net,7187500369,Jacobview,Kansas,USA,2024-04-22,Active
C00193,Susan,Cooper,victorclark@example.net,5647292931,Chaseborough,Georgia,USA,2025-11-24,Active
C00194,Joanna,Kennedy,thompsonvictor@example.net,7448906120,South Julieview,Mississippi,USA,2024-07-30,Active
C00195,Angela,Patrick,andrew15@example.net,9982455877,Stevenberg,Hawaii,USA,2025-06-03,Inactive
C00196,Sarah,Fisher,esweeney@example.org,5355449647,Gutierrezburgh,Alaska,USA,2023-11-16,Active
C00197,Jimmy,King,clarkrandy@example.org,7800681149,Jeromeport,New Hampshire,USA,2025-05-18,Active
C00198,David,Roberson,johnsonmichael@example.com,7848728299,Reginafort,Ohio,USA,2024-03-06,Inactive
C00199,Christopher,Parker,tgreen@example.org,8254780774,Port Adrian,Mississippi,USA,2024-01-24,Active
C00200,Nicole,Kim,frankmclaughlin@example.com,3416389448,East Derrickville,South Dakota,USA,2024-11-12,Active
C00201,Shawn,Graves,blopez@example.org,8021442703,Robinsonchester,Maryland,USA,2025-11-09,Active
C00202,Tyrone,Watson,riveramegan@example.org,4618723460,Wrightton,Illinois,USA,2024-11-18,Active
C00203,Kelli,Boyd,thomasmaldonado@example.com,2088147435,Lake Ryan,Alabama,USA,2024-01-01,Active
C00204,Joshua,Wilson,albertwilliams@example.net,9251327195,Lake Amanda,Connecticut,USA,2023-11-16,Active
C00205,Jesse,Holden,linda73@example.org,5240778487,Mariomouth,Louisiana,USA,2026-02-06,Active
C00206,Carol,Valencia,caseymoore@example.com,8570862095,Lake Tammyfurt,Illinois,USA,2025-01-26,Active
C00207,Tyler,Arnold,marcus51@example.org,0220317310,Brandonbury,Rhode Island,USA,2025-08-26,Active
C00208,Alexander,Mccall,fhebert@example.com,5865094801,North Jessicaside,Missouri,USA,2024-01-25,Active
C00209,Alicia,Wright,angelagrant@example.net,9576122868,Mahoneymouth,Oklahoma,USA,2026-06-22,Active
C00210,Mark,Watson,umckenzie@example.net,9836845776,New Derekport,Alabama,USA,2024-05-26,Active
C00211,Jeffrey,Foley,ingramsherry@example.com,1075224593,New Ricardoborough,Washington,USA,2023-09-24,Active
C00212,Mark,Olson,spetersen@example.net,9409610556,Lake Kimberlyfurt,Arkansas,USA,2024-05-31,Active
C00213,Blake,Fernandez,markwolfe@example.org,6799813646,South Ashleyton,Oklahoma,USA,2024-09-11,Active
C00214,Christopher,Shaw,kathleencastillo@example.org,6938983314,North Emilychester,Mississippi,USA,2024-07-17,Active
C00215,Malik,Wheeler,carrillogary@example.com,9270335211,Port Marissa,Maine,USA,2023-07-17,Inactive
C00216,Heather,Rodriguez,vruiz@example.org,3884879206,Georgeport,Illinois,USA,2025-11-12,Inactive
C00217,Christine,Brown,jonesdonna@example.net,1046368157,East Vincent,New Jersey,USA,2025-03-07,Active
C00218,Jennifer,Williams,matthew62@example.org,5543840460,West Penny,Texas,USA,2023-11-29,Active
C00219,Jessica,Meyer,robertberry@example.com,9578232983,South Wendy,Wyoming,USA,2023-12-08,Active
C00220,Sarah,Stark,carlos81@example.org,2056647423,Port Valerieview,Rhode Island,USA,2025-03-14,Active
C00221,Jerry,Hall,howardhailey@example.com,8975267722,Durantown,Louisiana,USA,2026-05-08,Active
C00222,Jeffrey,Powers,katherinejones@example.com,5736609656,New Danielmouth,Arizona,USA,2026-02-18,Active
C00223,John,Medina,grantzachary@example.net,3476447264,South Maria,New Hampshire,USA,2023-10-09,Active
C00224,Vincent,White,phillipmorris@example.org,7937145211,New Jasminehaven,South Carolina,USA,2026-05-07,Active
C00225,Nicholas,James,rhondacunningham@example.net,2220644742,New Kathytown,New Jersey,USA,2024-12-28,Active
C00226,Victor,Aguirre,lyoung@example.net,7671990384,East Eddiestad,Arizona,USA,2023-12-08,Active
C00227,Antonio,Lane,mark10@example.org,2249998279,Marcusfurt,California,USA,2025-10-10,Active
C00228,Megan,Brown,staylor@example.com,8683390198,Ronaldmouth,Kentucky,USA,2025-01-27,Active
C00229,Wanda,Gomez,christinacrawford@example.net,7293430107,Gutierrezmouth,Minnesota,USA,2025-03-07,Active
C00230,Dana,Smith,hannahking@example.org,4885015569,West Martha,Utah,USA,2024-12-08,Active
C00231,Thomas,Johnson,timothyburton@example.net,7608495880,Carlberg,Louisiana,USA,2026-01-08,Active
C00232,Matthew,Brooks,ashleyprice@example.net,4504617357,Gregorystad,Arizona,USA,2025-10-31,Active
C00233,Robin,Wallace,lloydrebecca@example.org,5784521823,North Larryton,Utah,USA,2026-01-16,Active
C00234,Monica,Cook,garciakatie@example.net,0943533448,Edwardview,Delaware,USA,2023-07-18,Active
C00235,Cindy,Palmer,amydunn@example.com,4932149587,Bergerton,Connecticut,USA,2024-08-25,Active
C00236,Christopher,Myers,tjensen@example.com,8179217174,East Michelle,South Carolina,USA,2024-04-09,Active
C00237,Michael,White,kristina57@example.com,1715772459,South Lisaville,Massachusetts,USA,2025-03-02,Active
C00238,Chad,Turner,amorales@example.org,8276153966,East Elaine,California,USA,2025-09-19,Active
C00239,Jennifer,Copeland,vargassteven@example.net,7246191965,Port Dominic,Pennsylvania,USA,2026-03-17,Active
C00240,Daisy,Smith,donnachavez@example.com,9973354946,New Valeriefurt,Florida,USA,2026-01-21,Active
C00241,Bryan,Santana,smithann@example.com,4036965666,South Don,Oklahoma,USA,2024-08-26,Active
C00242,Sandra,Larsen,keithsalas@example.org,0102762126,South William,Oklahoma,USA,2025-12-16,Active
C00243,Paul,Perez,kjacobs@example.com,8468950097,Nixonland,Georgia,USA,2025-09-09,Active
C00244,Alicia,Villarreal,steven18@example.net,3718949058,Berrymouth,Nebraska,USA,2024-07-22,Active
C00245,Tiffany,Phillips,austinlivingston@example.net,9407929049,East Williamview,Kentucky,USA,2023-11-24,Active
C00246,Juan,Hodge,figueroacassandra@example.net,7524372805,Port Tyler,Nebraska,USA,2025-10-23,Active
C00247,John,Alexander,jasonnavarro@example.com,4102767478,Bakerhaven,Nevada,USA,2023-07-15,Active
C00248,Sara,Cole,suzanne01@example.net,6945441496,New Matthew,Vermont,USA,2026-06-24,Active
C00249,Lawrence,Smith,deckeralexander@example.org,7534430091,Lake Susanland,Rhode Island,USA,2023-11-21,Active
C00250,Diana,Yoder,pauladominguez@example.com,7174654214,Wendyview,Kentucky,USA,2024-01-13,Active
C00251,Chad,Krause,chelseywhite@example.com,2863917410,Kimberlytown,New York,USA,2023-12-12,Active
C00252,Danielle,Fitzpatrick,sadams@example.com,9087766183,New Amandastad,Michigan,USA,2025-07-18,Active
C00253,Richard,Chen,diazmelissa@example.com,7432806346,Lake Samuelborough,Florida,USA,2023-08-10,Active
C00254,Anthony,Davies,tracybrown@example.net,7870050506,Bentleyside,Georgia,USA,2025-09-21,Active
C00255,Jesse,Jones,tracysmith@example.net,3202041792,South Brookebury,California,USA,2025-11-29,Active
C00256,Ronald,Cain,rnguyen@example.net,5309251142,South John,Pennsylvania,USA,2023-08-15,Active
C00257,Craig,Boone,bstrickland@example.com,0021946723,Jenkinsburgh,South Carolina,USA,2025-07-29,Active
C00258,Caitlyn,Love,burtonkimberly@example.com,0833181958,West Brian,Delaware,USA,2025-11-21,Active
